sample_number,test_number,name,entry,units,status
100087,500087,Potency,93.66,%,I
100088,500088,Content,93.19,%,I
100089,500089,,92.48,%,I
100090,500090,,92.26,%,A
100091,500091,Potency,93.1,%,A
100092,500092,Potency,95.26,%,A
100093,500093,Potency,93.48,%,I
100094,500094,Potency,98.71,%,I
100095,500095,Potency,95.33,%,I
100096,500096,,91.03,%,I
100097,500097,Content,91.22,%,I
100098,500098,,95.06,%,A
100099,500099,,,%,A
100100,500100,Potency,94.63,%,I
100101,500101,Potency,90.73,%,I
100102,500102,Potency,93.15,%,I
100103,500103,Content,97.3,%,A
100104,500104,Content,95.43,%,I
100105,500105,,,%,A
100106,500106,Content,91.66,%,A
100107,500107,Potency,98.77,%,A
100108,500108,,91.59,%,I
100109,500109,,90.01,%,I
100110,500110,Content,95.54,%,A
100111,500111,Potency,96.84,%,I
100112,500112,Content,94.54,%,A
100113,500113,Content,92.0,%,A
100114,500114,Content,95.52,%,I
100115,500115,,92.45,%,A
100116,500116,Content,91.27,%,I
100117,500117,Potency,93.94,%,I
100118,500118,,97.67,%,I
100119,500119,,93.09,%,A
100120,500120,,92.13,%,A
100121,500121,,96.18,%,I
100122,500122,Content,91.71,%,I
100123,500123,Potency,92.9,%,I
100124,500124,,94.77,%,A
100125,500125,Potency,97.8,%,A
100126,500126,Content,97.0,%,A
100127,500127,Potency,90.38,%,I
100128,500128,Content,97.41,%,A
100129,500129,,97.67,%,A
100130,500130,,96.77,%,A
100131,500131,Content,92.97,%,A
100132,500132,Potency,98.34,%,I
100133,500133,,95.37,%,A
100134,500134,Potency,91.98,%,I
100135,500135,Potency,97.41,%,I
100136,500136,Content,97.72,%,A
100137,500137,Potency,90.55,%,I
100138,500138,,91.91,%,A
100139,500139,Content,99.93,%,A
100140,500140,Potency,99.11,%,I
100141,500141,,98.21,%,I
100142,500142,Potency,92.74,%,A
100143,500143,Content,90.2,%,A
100144,500144,Potency,94.67,%,I
100145,500145,Potency,91.59,%,I
100146,500146,Content,90.55,%,I
100147,500147,Potency,91.05,%,I
100148,500148,,92.96,%,A
100149,500149,Content,95.86,%,I
100150,500150,Potency,90.88,%,I
100151,500151,Content,91.38,%,A
100152,500152,,99.68,%,A
100153,500153,Content,99.24,%,A
100154,500154,Content,97.08,%,A
100155,500155,Content,,%,A
100156,500156,Content,98.74,%,I
100157,500157,Content,,%,A
100158,500158,,95.27,%,I
100159,500159,,99.76,%,I
100160,500160,,91.11,%,I
100161,500161,Content,98.23,%,I
100162,500162,,93.64,%,A
100163,500163,,90.65,%,I
100164,500164,Potency,96.21,%,A
100165,500165,Content,95.47,%,A
100166,500166,,94.49,%,A
100167,500167,,94.96,%,A
100168,500168,Potency,96.21,%,A
100169,500169,Potency,99.86,%,I
100170,500170,Potency,92.92,%,A
100171,500171,,91.8,%,A
100172,500172,,90.68,%,I
100173,500173,Potency,95.48,%,A
100174,500174,Content,99.22,%,I
100175,500175,Potency,91.18,%,A
100176,500176,Potency,93.61,%,I
100177,500177,,90.66,%,A
100178,500178,,95.47,%,A
100179,500179,,91.02,%,A
100180,500180,,91.28,%,A
100181,500181,Content,92.93,%,I
100182,500182,,94.8,%,I
100183,500183,,90.49,%,I
100184,500184,Content,,%,I
100185,500185,Content,96.97,%,A
100186,500186,Content,92.12,%,A
100187,500187,Content,98.45,%,A
100188,500188,Content,99.66,%,I
100189,500189,Content,,%,A
100190,500190,,94.67,%,A
100191,500191,,92.35,%,I
100192,500192,Potency,93.71,%,A
100193,500193,Content,91.57,%,I
100194,500194,,94.13,%,I
100195,500195,Potency,93.98,%,A
100196,500196,,96.06,%,I
100197,500197,Potency,96.79,%,I
100198,500198,Content,96.37,%,A
100199,500199,Content,90.58,%,A
100200,500200,Content,95.79,%,I
100201,500201,Potency,94.95,%,A
100202,500202,Content,93.86,%,I
100203,500203,Potency,95.87,%,A
100204,500204,Content,98.36,%,I
100205,500205,Content,99.21,%,I
100206,500206,,90.07,%,I
100207,500207,Content,93.45,%,I
100208,500208,Content,97.74,%,I
100209,500209,Content,97.58,%,A
100210,500210,Potency,93.68,%,A
100211,500211,,98.49,%,I
100212,500212,Content,91.28,%,I
100213,500213,Potency,92.93,%,I
100214,500214,Content,95.82,%,I
100215,500215,,94.17,%,A
100216,500216,Content,95.52,%,I
100217,500217,,93.93,%,A
100218,500218,Content,,%,A
100219,500219,Potency,,%,I
100220,500220,Potency,91.89,%,I
100221,500221,,99.93,%,A
100222,500222,,98.6,%,I
100223,500223,Content,98.56,%,A
100224,500224,Content,98.36,%,A
100225,500225,Potency,97.51,%,A
100226,500226,Content,90.37,%,I
100227,500227,Potency,99.88,%,A
100228,500228,Content,94.85,%,I
100229,500229,,98.83,%,I
100230,500230,,95.3,%,A
100231,500231,Content,98.51,%,A
100232,500232,Potency,92.56,%,I
100233,500233,,,%,I
100234,500234,,92.91,%,I
100235,500235,Potency,98.61,%,I
100236,500236,Content,90.91,%,I
100237,500237,Content,96.36,%,A
100238,500238,,94.96,%,A
100239,500239,Potency,97.97,%,I
100240,500240,,95.49,%,I
100241,500241,Potency,91.67,%,I
100242,500242,,90.48,%,I
100243,500243,Content,92.65,%,A
100244,500244,Potency,98.32,%,I
100245,500245,Potency,95.55,%,I
100246,500246,Content,94.57,%,A
100247,500247,Content,98.12,%,A
100248,500248,Potency,90.16,%,I
100249,500249,Content,91.26,%,A
100250,500250,Potency,97.98,%,I
100251,500251,,94.36,%,I
100252,500252,Content,90.06,%,I
100253,500253,,93.43,%,A
100254,500254,Content,91.1,%,A
100255,500255,,99.2,%,I
100256,500256,,92.92,%,A
100257,500257,Content,91.15,%,I
100258,500258,Potency,93.96,%,I
100259,500259,Content,98.34,%,A
100260,500260,,96.91,%,I
100261,500261,,90.0,%,I
100262,500262,Content,94.88,%,A
100263,500263,Content,,%,I
100264,500264,Potency,99.94,%,A
100265,500265,Content,96.04,%,I
100266,500266,Potency,90.31,%,A
100267,500267,,95.15,%,A
100268,500268,,95.13,%,I
100269,500269,Potency,97.07,%,I
100270,500270,Potency,91.25,%,A
100271,500271,Potency,97.04,%,A
100272,500272,Potency,98.91,%,I
100273,500273,,96.88,%,A
100274,500274,Potency,95.94,%,I
100275,500275,Potency,90.87,%,A
100276,500276,,92.99,%,I
100277,500277,Content,90.83,%,A
100278,500278,Potency,96.22,%,A
100279,500279,Content,90.09,%,A
100280,500280,Potency,,%,I
100281,500281,Potency,95.4,%,I
100282,500282,,93.44,%,I
100283,500283,Content,95.53,%,A
100284,500284,Potency,,%,A
100285,500285,Potency,95.31,%,I
100286,500286,Content,97.6,%,I
100287,500287,Potency,91.31,%,A
100288,500288,Content,95.65,%,I
100289,500289,,96.92,%,A
100290,500290,Content,99.09,%,A
100291,500291,Potency,94.45,%,I
100292,500292,Potency,96.41,%,A
100293,500293,Content,91.76,%,A
100294,500294,Potency,99.25,%,A
100295,500295,Content,91.92,%,I
100296,500296,Potency,96.66,%,A
100297,500297,,94.26,%,A
100298,500298,Content,,%,A
100299,500299,Potency,98.64,%,I
100300,500300,Content,,%,I
100301,500301,,98.48,%,A
100302,500302,,90.25,%,A
100303,500303,Content,93.22,%,A
100304,500304,,95.85,%,I
100305,500305,Potency,90.7,%,I
100306,500306,Content,98.91,%,I
100307,500307,,99.85,%,A
100308,500308,Content,92.18,%,A
100309,500309,Potency,92.02,%,I
100310,500310,Content,93.87,%,I
100311,500311,Potency,90.13,%,A
100312,500312,Content,97.61,%,I
100313,500313,Potency,99.11,%,I
100314,500314,Content,94.09,%,I
100315,500315,,90.71,%,I
100316,500316,,96.13,%,I
100317,500317,Content,95.97,%,I
100318,500318,Potency,98.51,%,I
100319,500319,Content,98.07,%,A
100320,500320,Content,93.03,%,A
100321,500321,,95.67,%,A
100322,500322,Content,,%,I
100323,500323,,90.51,%,I
100324,500324,Potency,96.75,%,A
100325,500325,Content,95.91,%,A
100326,500326,Content,99.16,%,I
100327,500327,Potency,99.57,%,A
100328,500328,,,%,A
100329,500329,Potency,95.41,%,I
100330,500330,Potency,96.9,%,A
100331,500331,Content,,%,A
100332,500332,Potency,99.52,%,I
100333,500333,Potency,92.15,%,A
100334,500334,Content,98.33,%,I
100335,500335,Content,98.28,%,I
100336,500336,Content,95.84,%,I
100337,500337,Potency,95.08,%,A
100338,500338,,97.51,%,A
100339,500339,Content,99.17,%,A
100340,500340,Potency,97.25,%,A
100341,500341,,91.25,%,I
100342,500342,Potency,99.91,%,I
100343,500343,Potency,92.49,%,I
100344,500344,,92.31,%,I
100345,500345,Content,90.28,%,A
100346,500346,Potency,96.88,%,I
100347,500347,,92.21,%,I
100348,500348,Content,93.45,%,I
100349,500349,Content,,%,I
100350,500350,Potency,,%,A
100351,500351,Content,92.15,%,I
100352,500352,Potency,,%,A
100353,500353,Content,98.97,%,A
100354,500354,Potency,96.14,%,A
100355,500355,Content,95.12,%,A
100356,500356,Content,,%,A
100357,500357,,97.4,%,A
100358,500358,Content,92.3,%,A
100359,500359,Content,94.19,%,A
100360,500360,Potency,98.4,%,A
100361,500361,Potency,95.55,%,A
100362,500362,Content,90.99,%,I
100363,500363,Potency,,%,I
100364,500364,,95.21,%,A
100365,500365,,92.97,%,I
100366,500366,,90.8,%,I
100367,500367,Content,91.22,%,I
100368,500368,Content,99.43,%,A
100369,500369,Potency,98.4,%,A
100370,500370,Content,98.41,%,A
100371,500371,Content,95.85,%,I
100372,500372,Content,96.68,%,A
100373,500373,Content,99.33,%,I
100374,500374,Potency,91.49,%,A
100375,500375,,90.2,%,A
100376,500376,,,%,A
100377,500377,Content,96.37,%,I
100378,500378,Potency,99.53,%,I
100379,500379,,,%,I
100380,500380,Content,91.43,%,I
100381,500381,Content,92.36,%,A
100382,500382,Potency,92.31,%,A
100383,500383,Potency,96.99,%,I
100384,500384,Content,97.46,%,A
100385,500385,,93.72,%,I
100386,500386,Potency,,%,A
100387,500387,,97.43,%,A
100388,500388,,96.46,%,I
100389,500389,,91.5,%,I
100390,500390,,95.79,%,I
100391,500391,Potency,95.79,%,A
100392,500392,Content,90.4,%,A
100393,500393,Content,94.89,%,I
100394,500394,Potency,96.21,%,A
100395,500395,Content,99.91,%,I
100396,500396,Potency,96.85,%,I
100397,500397,Content,96.39,%,I
100398,500398,,93.58,%,I
100399,500399,,91.89,%,I
100400,500400,Content,96.82,%,A
100401,500401,,98.49,%,I
100402,500402,,94.24,%,I
100403,500403,Content,94.0,%,A
100404,500404,,93.33,%,A
100405,500405,Potency,94.97,%,I
100406,500406,Potency,93.87,%,I
100407,500407,,90.54,%,A
100408,500408,Potency,96.57,%,A
100409,500409,Content,91.43,%,A
100410,500410,Potency,97.75,%,A
100411,500411,,99.35,%,A
100412,500412,,94.07,%,I
100413,500413,,,%,I
100414,500414,,98.95,%,A
100415,500415,Potency,99.58,%,I
100416,500416,,95.55,%,I
100417,500417,,98.63,%,A
100418,500418,Content,94.93,%,I
100419,500419,,97.29,%,I
100420,500420,Content,99.55,%,A
100421,500421,Potency,94.73,%,A
100422,500422,,,%,I
100423,500423,Content,91.72,%,A
100424,500424,Potency,90.71,%,A
100425,500425,Potency,92.7,%,I
100426,500426,,93.76,%,A
100427,500427,Content,92.22,%,I
100428,500428,Potency,90.52,%,I
100429,500429,Content,92.67,%,A
100430,500430,Potency,97.52,%,I
100431,500431,Content,90.3,%,A
100432,500432,Content,97.49,%,I
100433,500433,Potency,91.73,%,A
100434,500434,Potency,99.46,%,I
100435,500435,,98.76,%,I
100436,500436,Potency,94.67,%,A
100437,500437,Potency,95.03,%,A
100438,500438,Content,91.75,%,I
100439,500439,,99.72,%,I
100440,500440,,95.82,%,I
100441,500441,,,%,A
100442,500442,,90.3,%,A
100443,500443,Content,95.39,%,I
100444,500444,Content,93.01,%,I
100445,500445,Content,91.28,%,A
100446,500446,,94.43,%,A
100447,500447,Content,94.2,%,A
100448,500448,Content,92.21,%,I
100449,500449,Potency,91.7,%,A
100450,500450,Content,93.28,%,A
100451,500451,Content,92.51,%,I
100452,500452,Potency,97.26,%,I
100453,500453,,99.62,%,A
100454,500454,Content,,%,A
100455,500455,Potency,98.19,%,I
100456,500456,Potency,90.56,%,I
100457,500457,Potency,97.81,%,I
100458,500458,Potency,99.02,%,I
100459,500459,,93.34,%,A
100460,500460,Content,94.94,%,I
100461,500461,Content,94.09,%,I
100462,500462,Content,94.35,%,I
100463,500463,Content,99.6,%,I
100464,500464,Content,,%,I
100465,500465,Content,,%,I
100466,500466,,93.36,%,I
100467,500467,,92.18,%,I
100468,500468,Potency,95.01,%,A
100469,500469,Potency,90.72,%,I
100470,500470,,99.79,%,I
100471,500471,Content,94.68,%,I
100472,500472,Content,96.84,%,I
100473,500473,Content,96.53,%,I
100474,500474,Potency,91.17,%,A
100475,500475,Potency,93.75,%,A
100476,500476,Potency,94.9,%,I
100477,500477,,90.8,%,I
100478,500478,Potency,,%,I
100479,500479,,98.44,%,A
100480,500480,Potency,98.01,%,A
100481,500481,,91.16,%,A
100482,500482,Potency,96.68,%,A
100483,500483,Potency,90.07,%,I
100484,500484,Potency,99.28,%,I
100485,500485,Potency,93.9,%,A
100486,500486,Potency,92.58,%,I
100487,500487,Potency,93.35,%,A
100488,500488,,91.68,%,A
100489,500489,,99.16,%,I
100490,500490,Potency,95.32,%,I
100491,500491,Content,93.37,%,I
100492,500492,,98.46,%,A
100493,500493,Content,96.67,%,A
100494,500494,Potency,93.43,%,I
100495,500495,Potency,90.12,%,I
100496,500496,Potency,95.67,%,I
100497,500497,Content,95.15,%,A
100498,500498,,98.42,%,A
100499,500499,,90.57,%,A
100500,500500,Potency,98.8,%,A
100501,500501,,,%,A
100502,500502,,,%,I
100503,500503,,91.66,%,I
100504,500504,Potency,98.62,%,A
100505,500505,,98.49,%,I
100506,500506,,99.35,%,A
100507,500507,Potency,93.73,%,A
100508,500508,,98.38,%,A
100509,500509,,99.53,%,I
100510,500510,,97.69,%,I
100511,500511,,94.22,%,A
100512,500512,,,%,A
100513,500513,Content,94.52,%,A
100514,500514,Content,98.18,%,A
100515,500515,Potency,98.3,%,A
100516,500516,,93.2,%,I
100517,500517,Potency,99.55,%,A
100518,500518,,,%,I
100519,500519,,98.78,%,I
100520,500520,Potency,,%,A
100521,500521,,97.32,%,I
100522,500522,,94.54,%,I
100523,500523,Potency,95.52,%,I
100524,500524,,95.04,%,I
100525,500525,Potency,,%,I
100526,500526,,98.04,%,I
100527,500527,Content,94.15,%,A
100528,500528,Potency,92.16,%,I
100529,500529,,92.65,%,A
100530,500530,Content,92.12,%,I
100531,500531,Potency,99.3,%,I
100532,500532,,90.69,%,I
100533,500533,,92.72,%,I
100534,500534,Content,93.21,%,A
100535,500535,,92.48,%,I
100536,500536,Potency,98.91,%,I
100537,500537,Content,98.39,%,A
100538,500538,,95.82,%,I
100539,500539,Potency,90.17,%,A
100540,500540,Potency,91.17,%,A
100541,500541,,90.02,%,A
100542,500542,Content,99.88,%,A
100543,500543,,98.96,%,I
100544,500544,Content,92.97,%,I
100545,500545,,92.72,%,I
100546,500546,Potency,94.29,%,I
100547,500547,Content,92.84,%,A
100548,500548,Potency,91.05,%,A
100549,500549,,93.17,%,A
100550,500550,Content,97.39,%,A
100551,500551,Content,96.72,%,I
100552,500552,Potency,92.0,%,A
100553,500553,,92.92,%,I
100554,500554,,97.7,%,A
100555,500555,,97.81,%,I
100556,500556,Content,93.92,%,I
100557,500557,Content,,%,I
100558,500558,Content,98.85,%,A
100559,500559,Content,93.5,%,A
100560,500560,,98.17,%,I
100561,500561,Potency,92.44,%,A
100562,500562,,,%,I
100563,500563,Potency,97.35,%,I
100564,500564,,90.24,%,I
100565,500565,Potency,97.53,%,A
100566,500566,Potency,98.24,%,A
100567,500567,,,%,A
100568,500568,Potency,92.76,%,I
100569,500569,,94.6,%,A
100570,500570,Content,92.79,%,A
100571,500571,,92.02,%,I
100572,500572,Content,90.04,%,A
100573,500573,Potency,,%,A
100574,500574,,94.08,%,I
100575,500575,Content,95.93,%,I
100576,500576,,98.09,%,I
100577,500577,Content,95.9,%,A
100578,500578,,95.98,%,A
100579,500579,Content,95.59,%,A
100580,500580,Potency,93.53,%,A
100581,500581,Potency,90.0,%,A
100582,500582,Content,95.08,%,I
100583,500583,,93.9,%,A
100584,500584,Content,92.21,%,A
100585,500585,Potency,93.46,%,I
100586,500586,Potency,91.54,%,A
100587,500587,Potency,95.34,%,A
100588,500588,Content,91.13,%,I
100589,500589,Potency,96.6,%,I
100590,500590,,96.7,%,A
100591,500591,,94.22,%,A
100592,500592,Content,90.33,%,I
100593,500593,Content,97.99,%,A
100594,500594,,97.82,%,A
100595,500595,,91.78,%,I
100596,500596,Content,93.5,%,I
100597,500597,,97.23,%,A
100598,500598,Content,92.4,%,A
100599,500599,Potency,94.93,%,A
100600,500600,Potency,95.36,%,I
100601,500601,Content,97.55,%,A
100602,500602,Content,94.81,%,I
100603,500603,,96.61,%,I
100604,500604,,91.18,%,A
100605,500605,,91.17,%,I
100606,500606,,91.57,%,A
100607,500607,Content,,%,I
100608,500608,,99.28,%,I
100609,500609,Potency,,%,A
100610,500610,Content,91.02,%,I
100611,500611,,99.39,%,I
100612,500612,,,%,A
100613,500613,,92.91,%,I
100614,500614,Potency,99.6,%,A
100615,500615,,93.35,%,A
100616,500616,Potency,91.77,%,A
100617,500617,,90.79,%,I
100618,500618,Potency,90.25,%,A
100619,500619,,93.41,%,I
100620,500620,Potency,91.88,%,I
100621,500621,Content,96.93,%,A
100622,500622,Content,91.87,%,A
100623,500623,Content,95.22,%,A
100624,500624,Potency,99.66,%,A
100625,500625,,95.35,%,I
100626,500626,Potency,96.78,%,I
100627,500627,,,%,I
100628,500628,Content,94.6,%,A
100629,500629,Potency,99.21,%,I
100630,500630,Potency,92.49,%,I
100631,500631,Potency,98.87,%,I
100632,500632,,90.34,%,A
100633,500633,Potency,99.97,%,A
100634,500634,,93.0,%,A
100635,500635,Potency,,%,A
100636,500636,Potency,95.42,%,A
100637,500637,Potency,95.51,%,A
100638,500638,Potency,98.2,%,I
100639,500639,Content,99.3,%,A
100640,500640,,92.35,%,I
100641,500641,,94.21,%,I
100642,500642,Potency,96.61,%,A
100643,500643,Potency,95.76,%,I
100644,500644,Content,90.11,%,I
100645,500645,Potency,94.48,%,I
100646,500646,Potency,99.91,%,A
100647,500647,Content,,%,I
100648,500648,Potency,99.62,%,I
100649,500649,Content,90.84,%,A
100650,500650,Content,97.36,%,A
100651,500651,,98.33,%,I
100652,500652,,95.46,%,I
100653,500653,Potency,98.55,%,I
100654,500654,Content,91.09,%,I
100655,500655,,94.65,%,A
100656,500656,,93.88,%,I
100657,500657,Content,93.9,%,A
100658,500658,Content,,%,I
100659,500659,Content,94.0,%,A
100660,500660,,,%,I
100661,500661,,97.09,%,I
100662,500662,Potency,96.06,%,A
100663,500663,Content,91.94,%,I
100664,500664,Content,98.27,%,I
100665,500665,Potency,91.65,%,A
100666,500666,,98.07,%,I
100667,500667,Content,96.95,%,I
100668,500668,Potency,,%,I
100669,500669,,92.21,%,A
100670,500670,Potency,,%,I
100671,500671,Content,92.94,%,A
100672,500672,,97.18,%,A
100673,500673,Content,90.62,%,A
100674,500674,Potency,97.79,%,A
100675,500675,Potency,95.35,%,A
100676,500676,Potency,96.76,%,I
100677,500677,Potency,94.5,%,A
100678,500678,Potency,92.29,%,I
100679,500679,,90.26,%,A
100680,500680,,94.44,%,A
100681,500681,Potency,90.2,%,A
100682,500682,Content,94.62,%,I
100683,500683,Potency,95.91,%,A
100684,500684,Content,92.13,%,I
100685,500685,,92.12,%,I
100686,500686,Content,,%,A
100687,500687,,90.15,%,A
100688,500688,Potency,94.17,%,I
100689,500689,Potency,94.16,%,A
100690,500690,Potency,99.12,%,I
100691,500691,,94.31,%,A
100692,500692,Potency,92.24,%,A
100693,500693,Potency,97.11,%,I
100694,500694,Content,94.13,%,A
100695,500695,,98.54,%,I
100696,500696,Potency,90.89,%,A
100697,500697,Content,98.97,%,A
100698,500698,,,%,I
100699,500699,Content,97.47,%,I
100700,500700,Potency,97.2,%,A
100701,500701,,94.52,%,A
100702,500702,Content,99.86,%,I
100703,500703,Potency,98.5,%,I
100704,500704,Potency,97.1,%,I
100705,500705,,90.7,%,A
100706,500706,,99.46,%,I
100707,500707,Potency,97.66,%,A
100708,500708,Potency,96.67,%,I
100709,500709,Potency,94.46,%,A
100710,500710,,93.1,%,I
100711,500711,,98.02,%,I
100712,500712,Potency,95.52,%,I
100713,500713,Content,,%,A
100714,500714,Content,91.02,%,I
100715,500715,Content,93.0,%,I
100716,500716,Content,95.87,%,I
100717,500717,Potency,94.55,%,I
100718,500718,Potency,94.47,%,I
100719,500719,,96.73,%,I
100720,500720,,97.81,%,I
100721,500721,Potency,,%,A
100722,500722,,91.01,%,I
100723,500723,Content,92.55,%,A
100724,500724,Potency,,%,I
100725,500725,Potency,92.53,%,I
100726,500726,,97.02,%,A
100727,500727,Potency,94.86,%,A
100728,500728,Potency,97.29,%,A
100729,500729,Potency,94.64,%,I
100730,500730,Potency,98.21,%,I
100731,500731,,,%,I
100732,500732,Potency,,%,A
100733,500733,Potency,99.79,%,I
100734,500734,Content,98.9,%,I
100735,500735,Potency,95.08,%,A
100736,500736,Content,99.13,%,I
100737,500737,Potency,,%,I
100738,500738,Content,99.75,%,I
100739,500739,,92.63,%,A
100740,500740,Potency,95.82,%,I
100741,500741,Content,98.07,%,I
100742,500742,,,%,I
100743,500743,,94.75,%,A
100744,500744,Potency,97.84,%,A
100745,500745,,94.9,%,I
100746,500746,Potency,90.66,%,I
100747,500747,Potency,98.39,%,A
100748,500748,Potency,98.81,%,A
100749,500749,Content,99.54,%,I
100750,500750,Potency,,%,I
100751,500751,Content,92.73,%,I
100752,500752,Potency,96.73,%,I
100753,500753,,92.35,%,I
100754,500754,Potency,93.14,%,A
100755,500755,Content,93.0,%,A
100756,500756,Content,94.8,%,I
100757,500757,,91.99,%,A
100758,500758,Content,94.56,%,I
100759,500759,,97.36,%,A
100760,500760,Potency,94.16,%,A
100761,500761,Potency,92.7,%,I
100762,500762,Content,93.49,%,I
100763,500763,Content,93.21,%,I
100764,500764,Potency,,%,A
100765,500765,Potency,99.37,%,A
100766,500766,,,%,I
100767,500767,Potency,94.27,%,I
100768,500768,Content,97.24,%,A
100769,500769,,93.87,%,A
100770,500770,Content,,%,I
100771,500771,Content,93.86,%,A
100772,500772,,91.51,%,A
100773,500773,,95.75,%,I
100774,500774,Content,92.43,%,A
100775,500775,,91.81,%,I
100776,500776,Potency,,%,I
100777,500777,,,%,A
100778,500778,Potency,90.26,%,A
100779,500779,,92.2,%,A
100780,500780,,93.17,%,A
100781,500781,Content,92.53,%,I
100782,500782,,91.35,%,I
100783,500783,,98.79,%,I
100784,500784,Content,99.29,%,A
100785,500785,,99.73,%,I
100786,500786,Potency,91.31,%,I
100787,500787,Content,92.67,%,I
100788,500788,Potency,95.85,%,A
100789,500789,Content,93.57,%,A
100790,500790,,,%,A
100791,500791,Content,95.59,%,I
100792,500792,Content,97.32,%,A
100793,500793,Content,92.46,%,A
100794,500794,Content,95.67,%,A
100795,500795,Content,,%,I
100796,500796,,96.25,%,I
100797,500797,Content,90.24,%,A
100798,500798,Potency,94.72,%,I
100799,500799,Content,97.37,%,I
100800,500800,Content,91.89,%,A
100801,500801,Content,99.74,%,A
100802,500802,,92.47,%,I
100803,500803,Content,91.37,%,I
100804,500804,Potency,95.48,%,I
100805,500805,,94.64,%,A
100806,500806,Potency,98.99,%,A
100807,500807,,98.95,%,I
100808,500808,,99.54,%,I
100809,500809,Content,92.86,%,I
100810,500810,Potency,95.52,%,I
100811,500811,Potency,97.79,%,I
100812,500812,,93.3,%,A
100813,500813,Potency,97.09,%,A
100814,500814,Potency,98.84,%,A
100815,500815,,95.17,%,I
100816,500816,Potency,90.6,%,A
100817,500817,Potency,94.71,%,I
100818,500818,Potency,93.88,%,I
100819,500819,Potency,98.4,%,A
100820,500820,Potency,98.14,%,A
100821,500821,,99.59,%,I
100822,500822,,91.93,%,A
100823,500823,Content,90.18,%,I
100824,500824,Content,97.91,%,I
100825,500825,Content,,%,A
100826,500826,Content,,%,I
100827,500827,,99.71,%,I
100828,500828,Content,95.92,%,I
100829,500829,Potency,,%,A
100830,500830,Potency,95.08,%,A
100831,500831,Potency,96.51,%,A
100832,500832,Content,93.65,%,A
100833,500833,,92.51,%,A
100834,500834,Content,94.2,%,I
100835,500835,Content,97.92,%,I
100836,500836,Potency,93.11,%,I
100837,500837,Content,95.68,%,I
100838,500838,,98.0,%,I
100839,500839,Content,94.32,%,I
100840,500840,,,%,A
100841,500841,Potency,,%,A
100842,500842,Potency,94.47,%,I
100843,500843,Content,99.72,%,I
100844,500844,,94.2,%,I
100845,500845,Content,90.24,%,A
100846,500846,Content,91.71,%,I
100847,500847,Potency,92.48,%,I
100848,500848,,91.01,%,I
100849,500849,,97.45,%,I
