lot_number,item_description
LBL100206,BatchB
LBL100207,BatchB
LBL100208,BatchC
LBL100209,BatchC
LBL100210,BatchC
LBL100211,BatchA
LBL100212,BatchB
LBL100213,BatchC
LBL100214,BatchA
LBL100215,BatchA
LBL100216,BatchA
LBL100217,BatchC
LBL100218,BatchB
LBL100219,BatchB
LBL100220,BatchC
LBL100221,BatchC
LBL100222,BatchB
LBL100223,BatchB
LBL100224,BatchA
LBL100225,BatchA
LBL100226,BatchB
LBL100227,BatchC
LBL100228,BatchC
LBL100229,BatchB
LBL100230,BatchB
LBL100231,BatchC
LBL100232,BatchC
LBL100233,BatchA
LBL100234,BatchA
LBL100235,BatchB
LBL100236,BatchB
LBL100237,BatchA
LBL100238,BatchC
LBL100239,BatchC
LBL100240,BatchA
LBL100241,BatchA
LBL100242,BatchC
LBL100243,BatchA
LBL100244,BatchA
LBL100245,BatchC
LBL100246,BatchA
LBL100247,BatchB
LBL100248,BatchB
LBL100249,BatchA
LBL100250,BatchA
LBL100251,BatchB
LBL100252,BatchB
LBL100253,BatchB
LBL100254,BatchB
LBL100255,BatchC
LBL100256,BatchC
LBL100257,BatchC
LBL100258,BatchC
LBL100259,BatchC
LBL100260,BatchA
LBL100261,BatchB
LBL100262,BatchA
LBL100263,BatchB
LBL100264,BatchC
LBL100265,BatchB
LBL100266,BatchC
LBL100267,BatchA
LBL100268,BatchA
LBL100269,BatchB
LBL100270,BatchA
LBL100271,BatchC
LBL100272,BatchC
LBL100273,BatchC
LBL100274,BatchB
LBL100275,BatchC
LBL100276,BatchC
LBL100277,BatchC
LBL100278,BatchC
LBL100279,BatchA
LBL100280,BatchB
LBL100281,BatchA
LBL100282,BatchB
LBL100283,BatchA
LBL100284,BatchA
LBL100285,BatchA
LBL100286,BatchA
LBL100287,BatchA
LBL100288,BatchB
LBL100289,BatchB
LBL100290,BatchA
LBL100291,BatchA
LBL100292,BatchC
LBL100293,BatchB
LBL100294,BatchB
LBL100295,BatchA
LBL100296,BatchA
LBL100297,BatchA
LBL100298,BatchA
LBL100299,BatchC
LBL100300,BatchB
LBL100301,BatchB
LBL100302,BatchC
LBL100303,BatchA
LBL100304,BatchB
LBL100305,BatchB
LBL100306,BatchC
LBL100307,BatchB
LBL100308,BatchA
LBL100309,BatchC
LBL100310,BatchA
LBL100311,BatchA
LBL100312,BatchA
LBL100313,BatchC
LBL100314,BatchB
LBL100315,BatchB
LBL100316,BatchB
LBL100317,BatchC
LBL100318,BatchB
LBL100319,BatchA
LBL100320,BatchA
LBL100321,BatchB
LBL100322,BatchB
LBL100323,BatchA
LBL100324,BatchC
LBL100325,BatchC
LBL100326,BatchC
LBL100327,BatchC
LBL100328,BatchB
LBL100329,BatchB
LBL100330,BatchC
LBL100331,BatchA
LBL100332,BatchC
LBL100333,BatchB
LBL100334,BatchA
LBL100335,BatchC
LBL100336,BatchC
LBL100337,BatchC
LBL100338,BatchB
LBL100339,BatchB
LBL100340,BatchB
LBL100341,BatchB
LBL100342,BatchA
LBL100343,BatchA
LBL100344,BatchC
LBL100345,BatchA
LBL100346,BatchC
LBL100347,BatchB
LBL100348,BatchA
LBL100349,BatchB
LBL100350,BatchB
LBL100351,BatchA
LBL100352,BatchA
LBL100353,BatchB
LBL100354,BatchB
LBL100355,BatchA
LBL100356,BatchC
LBL100357,BatchB
LBL100358,BatchC
LBL100359,BatchA
LBL100360,BatchB
LBL100361,BatchB
LBL100362,BatchC
LBL100363,BatchC
LBL100364,BatchB
LBL100365,BatchB
LBL100366,BatchA
LBL100367,BatchB
LBL100368,BatchB
LBL100369,BatchB
LBL100370,BatchA
LBL100371,BatchB
LBL100372,BatchB
LBL100373,BatchA
LBL100374,BatchA
LBL100375,BatchC
LBL100376,BatchC
LBL100377,BatchB
LBL100378,BatchA
LBL100379,BatchC
LBL100380,BatchA
LBL100381,BatchA
LBL100382,BatchB
LBL100383,BatchB
LBL100384,BatchA
LBL100385,BatchA
LBL100386,BatchC
LBL100387,BatchC
LBL100388,BatchA
LBL100389,BatchA
LBL100390,BatchC
LBL100391,BatchA
LBL100392,BatchB
LBL100393,BatchB
LBL100394,BatchB
LBL100395,BatchB
LBL100396,BatchB
LBL100397,BatchB
LBL100398,BatchC
LBL100399,BatchA
LBL100400,BatchC
LBL100401,BatchC
LBL100402,BatchC
LBL100403,BatchC
LBL100404,BatchB
LBL100405,BatchC
LBL100406,BatchB
LBL100407,BatchA
LBL100408,BatchB
LBL100409,BatchC
LBL100410,BatchB
LBL100411,BatchB
LBL100412,BatchA
LBL100413,BatchB
LBL100414,BatchC
LBL100415,BatchC
LBL100416,BatchB
LBL100417,BatchB
LBL100418,BatchC
LBL100419,BatchC
LBL100420,BatchA
LBL100421,BatchC
LBL100422,BatchC
LBL100423,BatchA
LBL100424,BatchA
LBL100425,BatchA
LBL100426,BatchC
LBL100427,BatchB
LBL100428,BatchC
LBL100429,BatchC
LBL100430,BatchC
LBL100431,BatchC
LBL100432,BatchB
LBL100433,BatchA
LBL100434,BatchB
LBL100435,BatchB
LBL100436,BatchA
LBL100437,BatchB
LBL100438,BatchA
LBL100439,BatchA
LBL100440,BatchB
LBL100441,BatchC
LBL100442,BatchB
LBL100443,BatchA
LBL100444,BatchC
LBL100445,BatchC
LBL100446,BatchB
LBL100447,BatchB
LBL100448,BatchA
LBL100449,BatchA
LBL100450,BatchB
LBL100451,BatchB
LBL100452,BatchA
LBL100453,BatchB
LBL100454,BatchB
LBL100455,BatchB
LBL100456,BatchC
LBL100457,BatchC
LBL100458,BatchA
LBL100459,BatchB
LBL100460,BatchC
LBL100461,BatchB
LBL100462,BatchB
LBL100463,BatchC
LBL100464,BatchB
LBL100465,BatchB
LBL100466,BatchC
LBL100467,BatchB
LBL100468,BatchA
LBL100469,BatchC
LBL100470,BatchB
LBL100471,BatchB
LBL100472,BatchC
LBL100473,BatchC
LBL100474,BatchB
LBL100475,BatchB
LBL100476,BatchA
LBL100477,BatchB
LBL100478,BatchA
LBL100479,BatchC
LBL100480,BatchA
LBL100481,BatchB
LBL100482,BatchC
LBL100483,BatchB
LBL100484,BatchA
LBL100485,BatchA
LBL100486,BatchA
LBL100487,BatchA
LBL100488,BatchB
LBL100489,BatchC
LBL100490,BatchB
LBL100491,BatchA
LBL100492,BatchC
LBL100493,BatchA
LBL100494,BatchB
LBL100495,BatchA
LBL100496,BatchA
LBL100497,BatchC
LBL100498,BatchB
LBL100499,BatchC
LBL100500,BatchA
LBL100501,BatchC
LBL100502,BatchC
LBL100503,BatchC
LBL100504,BatchB
LBL100505,BatchA
LBL100506,BatchB
LBL100507,BatchA
LBL100508,BatchA
LBL100509,BatchC
LBL100510,BatchA
LBL100511,BatchB
LBL100512,BatchC
LBL100513,BatchC
LBL100514,BatchB
LBL100515,BatchB
LBL100516,BatchB
LBL100517,BatchC
LBL100518,BatchA
LBL100519,BatchC
LBL100520,BatchA
LBL100521,BatchA
LBL100522,BatchC
LBL100523,BatchA
LBL100524,BatchB
LBL100525,BatchC
LBL100526,BatchC
LBL100527,BatchB
LBL100528,BatchC
LBL100529,BatchA
LBL100530,BatchB
LBL100531,BatchB
LBL100532,BatchA
LBL100533,BatchA
LBL100534,BatchA
LBL100535,BatchB
LBL100536,BatchC
LBL100537,BatchA
LBL100538,BatchB
LBL100539,BatchB
LBL100540,BatchC
LBL100541,BatchB
LBL100542,BatchA
LBL100543,BatchA
LBL100544,BatchA
LBL100545,BatchA
LBL100546,BatchC
LBL100547,BatchA
LBL100548,BatchA
LBL100549,BatchA
LBL100550,BatchB
LBL100551,BatchC
LBL100552,BatchC
LBL100553,BatchC
LBL100554,BatchB
LBL100555,BatchA
LBL100556,BatchB
LBL100557,BatchA
LBL100558,BatchB
LBL100559,BatchB
LBL100560,BatchA
LBL100561,BatchB
LBL100562,BatchC
LBL100563,BatchA
LBL100564,BatchB
LBL100565,BatchB
LBL100566,BatchB
LBL100567,BatchB
LBL100568,BatchA
LBL100569,BatchA
LBL100570,BatchA
LBL100571,BatchC
LBL100572,BatchA
LBL100573,BatchB
LBL100574,BatchA
LBL100575,BatchB
LBL100576,BatchB
LBL100577,BatchA
LBL100578,BatchA
LBL100579,BatchB
LBL100580,BatchA
LBL100581,BatchA
LBL100582,BatchA
LBL100583,BatchA
LBL100584,BatchB
LBL100585,BatchB
LBL100586,BatchA
LBL100587,BatchA
LBL100588,BatchA
LBL100589,BatchC
LBL100590,BatchA
LBL100591,BatchC
LBL100592,BatchA
LBL100593,BatchB
LBL100594,BatchA
LBL100595,BatchA
LBL100596,BatchA
LBL100597,BatchB
LBL100598,BatchB
LBL100599,BatchA
LBL100600,BatchB
LBL100601,BatchA
LBL100602,BatchC
LBL100603,BatchC
LBL100604,BatchC
LBL100605,BatchA
LBL100606,BatchB
LBL100607,BatchC
LBL100608,BatchC
LBL100609,BatchC
LBL100610,BatchC
LBL100611,BatchB
LBL100612,BatchA
LBL100613,BatchA
LBL100614,BatchC
LBL100615,BatchB
LBL100616,BatchB
LBL100617,BatchC
LBL100618,BatchA
LBL100619,BatchC
LBL100620,BatchA
LBL100621,BatchA
LBL100622,BatchA
LBL100623,BatchA
LBL100624,BatchC
LBL100625,BatchC
LBL100626,BatchB
LBL100627,BatchC
LBL100628,BatchC
LBL100629,BatchB
LBL100630,BatchA
LBL100631,BatchC
LBL100632,BatchC
LBL100633,BatchA
LBL100634,BatchC
LBL100635,BatchC
LBL100636,BatchB
LBL100637,BatchB
LBL100638,BatchA
LBL100639,BatchB
LBL100640,BatchC
LBL100641,BatchC
LBL100642,BatchC
LBL100643,BatchA
LBL100644,BatchA
LBL100645,BatchA
LBL100646,BatchC
LBL100647,BatchC
LBL100648,BatchB
LBL100649,BatchC
LBL100650,BatchC
LBL100651,BatchC
LBL100652,BatchC
LBL100653,BatchC
LBL100654,BatchC
LBL100655,BatchA
LBL100656,BatchB
LBL100657,BatchB
LBL100658,BatchC
LBL100659,BatchB
LBL100660,BatchC
LBL100661,BatchA
LBL100662,BatchB
LBL100663,BatchB
LBL100664,BatchA
LBL100665,BatchB
LBL100666,BatchC
LBL100667,BatchC
LBL100668,BatchB
LBL100669,BatchB
LBL100670,BatchA
LBL100671,BatchC
LBL100672,BatchB
LBL100673,BatchA
LBL100674,BatchC
LBL100675,BatchC
LBL100676,BatchA
LBL100677,BatchB
LBL100678,BatchC
LBL100679,BatchB
LBL100680,BatchA
LBL100681,BatchC
LBL100682,BatchB
LBL100683,BatchC
LBL100684,BatchB
LBL100685,BatchA
LBL100686,BatchB
LBL100687,BatchA
LBL100688,BatchA
LBL100689,BatchA
LBL100690,BatchB
LBL100691,BatchB
LBL100692,BatchC
LBL100693,BatchA
LBL100694,BatchC
LBL100695,BatchA
LBL100696,BatchC
LBL100697,BatchC
LBL100698,BatchB
LBL100699,BatchB
LBL100700,BatchB
LBL100701,BatchB
LBL100702,BatchC
LBL100703,BatchA
LBL100704,BatchC
LBL100705,BatchC
LBL100706,BatchC
LBL100707,BatchC
LBL100708,BatchB
LBL100709,BatchB
LBL100710,BatchC
LBL100711,BatchA
LBL100712,BatchA
LBL100713,BatchC
LBL100714,BatchC
LBL100715,BatchC
LBL100716,BatchA
LBL100717,BatchB
LBL100718,BatchC
LBL100719,BatchA
LBL100720,BatchA
LBL100721,BatchA
LBL100722,BatchA
LBL100723,BatchB
LBL100724,BatchC
LBL100725,BatchC
LBL100726,BatchC
LBL100727,BatchA
LBL100728,BatchB
LBL100729,BatchB
LBL100730,BatchA
LBL100731,BatchA
LBL100732,BatchA
LBL100733,BatchB
LBL100734,BatchB
LBL100735,BatchA
LBL100736,BatchA
LBL100737,BatchA
LBL100738,BatchB
LBL100739,BatchB
LBL100740,BatchC
LBL100741,BatchA
LBL100742,BatchA
LBL100743,BatchB
LBL100744,BatchC
LBL100745,BatchB
LBL100746,BatchC
LBL100747,BatchC
LBL100748,BatchA
LBL100749,BatchB
LBL100750,BatchA
LBL100751,BatchB
LBL100752,BatchA
LBL100753,BatchB
LBL100754,BatchB
LBL100755,BatchA
LBL100756,BatchB
LBL100757,BatchA
LBL100758,BatchA
LBL100759,BatchB
LBL100760,BatchC
LBL100761,BatchB
LBL100762,BatchB
LBL100763,BatchA
LBL100764,BatchC
LBL100765,BatchA
LBL100766,BatchA
LBL100767,BatchA
LBL100768,BatchA
LBL100769,BatchB
LBL100770,BatchA
LBL100771,BatchC
LBL100772,BatchB
LBL100773,BatchA
LBL100774,BatchB
LBL100775,BatchB
LBL100776,BatchC
LBL100777,BatchA
LBL100778,BatchB
LBL100779,BatchB
LBL100780,BatchC
LBL100781,BatchA
LBL100782,BatchC
LBL100783,BatchB
LBL100784,BatchB
LBL100785,BatchC
LBL100786,BatchA
LBL100787,BatchB
LBL100788,BatchC
LBL100789,BatchA
LBL100790,BatchA
LBL100791,BatchB
LBL100792,BatchA
LBL100793,BatchC
LBL100794,BatchC
LBL100795,BatchA
LBL100796,BatchA
LBL100797,BatchA
LBL100798,BatchB
LBL100799,BatchC
LBL100800,BatchB
LBL100801,BatchB
LBL100802,BatchA
LBL100803,BatchC
LBL100804,BatchB
LBL100805,BatchA
LBL100806,BatchB
LBL100807,BatchB
LBL100808,BatchB
LBL100809,BatchA
LBL100810,BatchC
LBL100811,BatchB
LBL100812,BatchB
LBL100813,BatchA
LBL100814,BatchA
LBL100815,BatchA
LBL100816,BatchC
LBL100817,BatchA
LBL100818,BatchB
LBL100819,BatchA
LBL100820,BatchA
LBL100821,BatchB
LBL100822,BatchC
LBL100823,BatchC
LBL100824,BatchC
LBL100825,BatchC
LBL100826,BatchC
LBL100827,BatchC
LBL100828,BatchB
LBL100829,BatchC
LBL100830,BatchC
LBL100831,BatchC
LBL100832,BatchA
LBL100833,BatchA
LBL100834,BatchB
LBL100835,BatchB
LBL100836,BatchC
LBL100837,BatchA
LBL100838,BatchC
LBL100839,BatchC
LBL100840,BatchB
LBL100841,BatchA
LBL100842,BatchB
LBL100843,BatchB
LBL100844,BatchC
LBL100845,BatchA
LBL100846,BatchC
LBL100847,BatchC
LBL100848,BatchB
LBL100849,BatchC
LBL100850,BatchA
LBL100851,BatchA
LBL100852,BatchA
LBL100853,BatchA
LBL100854,BatchA
LBL100855,BatchC
LBL100856,BatchB
LBL100857,BatchB
LBL100858,BatchB
LBL100859,BatchB
LBL100860,BatchC
LBL100861,BatchB
LBL100862,BatchB
LBL100863,BatchB
LBL100864,BatchA
LBL100865,BatchB
LBL100866,BatchB
LBL100867,BatchC
LBL100868,BatchB
LBL100869,BatchC
LBL100870,BatchB
LBL100871,BatchB
LBL100872,BatchC
LBL100873,BatchC
LBL100874,BatchB
LBL100875,BatchC
LBL100876,BatchB
LBL100877,BatchC
LBL100878,BatchB
LBL100879,BatchA
LBL100880,BatchA
LBL100881,BatchA
LBL100882,BatchB
LBL100883,BatchA
LBL100884,BatchA
LBL100885,BatchA
LBL100886,BatchC
LBL100887,BatchA
LBL100888,BatchC
LBL100889,BatchB
LBL100890,BatchC
LBL100891,BatchB
LBL100892,BatchA
LBL100893,BatchA
LBL100894,BatchA
LBL100895,BatchC
LBL100896,BatchB
LBL100897,BatchC
LBL100898,BatchC
LBL100899,BatchC
LBL100900,BatchC
LBL100901,BatchA
LBL100902,BatchA
LBL100903,BatchA
LBL100904,BatchA
LBL100905,BatchB
LBL100906,BatchB
LBL100907,BatchA
LBL100908,BatchA
LBL100909,BatchA
LBL100910,BatchA
LBL100911,BatchA
LBL100912,BatchA
LBL100913,BatchA
LBL100914,BatchB
LBL100915,BatchC
LBL100916,BatchB
LBL100917,BatchB
LBL100918,BatchB
LBL100919,BatchC
LBL100920,BatchB
LBL100921,BatchC
LBL100922,BatchC
LBL100923,BatchB
LBL100924,BatchA
LBL100925,BatchA
LBL100926,BatchA
LBL100927,BatchC
LBL100928,BatchC
LBL100929,BatchA
LBL100930,BatchB
LBL100931,BatchC
LBL100932,BatchC
LBL100933,BatchB
LBL100934,BatchA
LBL100935,BatchA
LBL100936,BatchC
LBL100937,BatchC
LBL100938,BatchB
LBL100939,BatchC
LBL100940,BatchA
LBL100941,BatchB
LBL100942,BatchC
LBL100943,BatchA
LBL100944,BatchA
LBL100945,BatchB
LBL100946,BatchC
LBL100947,BatchC
LBL100948,BatchB
LBL100949,BatchA
LBL100950,BatchB
LBL100951,BatchA
LBL100952,BatchB
LBL100953,BatchC
LBL100954,BatchB
LBL100955,BatchB
LBL100956,BatchA
LBL100957,BatchA
LBL100958,BatchA
LBL100959,BatchA
LBL100960,BatchA
LBL100961,BatchC
LBL100962,BatchA
LBL100963,BatchA
LBL100964,BatchA
LBL100965,BatchA
LBL100966,BatchA
LBL100967,BatchB
LBL100968,BatchC
LBL100969,BatchB
LBL100970,BatchA
LBL100971,BatchB
LBL100972,BatchC
LBL100973,BatchC
LBL100974,BatchA
LBL100975,BatchB
LBL100976,BatchB
LBL100977,BatchA
LBL100978,BatchB
LBL100979,BatchA
LBL100980,BatchA
LBL100981,BatchC
LBL100982,BatchC
LBL100983,BatchA
LBL100984,BatchA
LBL100985,BatchB
LBL100986,BatchA
LBL100987,BatchA
LBL100988,BatchB
LBL100989,BatchC
LBL100990,BatchA
LBL100991,BatchB
LBL100992,BatchB
LBL100993,BatchB
LBL100994,BatchC
LBL100995,BatchB
LBL100996,BatchB
LBL100997,BatchB
LBL100998,BatchB
LBL100999,BatchA
LBL101000,BatchA
LBL101001,BatchA
LBL101002,BatchC
LBL101003,BatchC
LBL101004,BatchC
LBL101005,BatchB
LBL101006,BatchA
LBL101007,BatchA
LBL101008,BatchA
LBL101009,BatchA
LBL101010,BatchA
LBL101011,BatchC
LBL101012,BatchC
LBL101013,BatchC
LBL101014,BatchC
LBL101015,BatchB
LBL101016,BatchC
LBL101017,BatchA
LBL101018,BatchB
LBL101019,BatchA
LBL101020,BatchA
LBL101021,BatchC
LBL101022,BatchA
LBL101023,BatchB
LBL101024,BatchB
LBL101025,BatchC
LBL101026,BatchC
LBL101027,BatchB
LBL101028,BatchB
LBL101029,BatchB
LBL101030,BatchA
LBL101031,BatchB
LBL101032,BatchB
LBL101033,BatchB
LBL101034,BatchC
LBL101035,BatchC
LBL101036,BatchA
LBL101037,BatchB
LBL101038,BatchC
LBL101039,BatchB
LBL101040,BatchC
LBL101041,BatchA
LBL101042,BatchC
LBL101043,BatchB
LBL101044,BatchA
LBL101045,BatchA
LBL101046,BatchA
LBL101047,BatchC
LBL101048,BatchC
LBL101049,BatchB
LBL101050,BatchB
LBL101051,BatchB
LBL101052,BatchA
LBL101053,BatchC
LBL101054,BatchB
LBL101055,BatchA
LBL101056,BatchC
LBL101057,BatchB
LBL101058,BatchC
LBL101059,BatchB
LBL101060,BatchC
LBL101061,BatchB
LBL101062,BatchB
LBL101063,BatchC
LBL101064,BatchA
LBL101065,BatchB
LBL101066,BatchC
LBL101067,BatchC
LBL101068,BatchB
LBL101069,BatchC
LBL101070,BatchA
LBL101071,BatchC
LBL101072,BatchB
LBL101073,BatchB
LBL101074,BatchA
LBL101075,BatchC
LBL101076,BatchC
LBL101077,BatchC
LBL101078,BatchB
LBL101079,BatchB
LBL101080,BatchC
LBL101081,BatchB
LBL101082,BatchB
LBL101083,BatchB
LBL101084,BatchC
LBL101085,BatchC
LBL101086,BatchB
LBL101087,BatchC
LBL101088,BatchB
LBL101089,BatchC
LBL101090,BatchC
LBL101091,BatchB
LBL101092,BatchB
LBL101093,BatchC
LBL101094,BatchC
LBL101095,BatchC
LBL101096,BatchB
LBL101097,BatchA
LBL101098,BatchC
LBL101099,BatchB
LBL101100,BatchB
LBL101101,BatchC
LBL101102,BatchB
LBL101103,BatchC
LBL101104,BatchB
LBL101105,BatchC
LBL101106,BatchB
LBL101107,BatchC
LBL101108,BatchA
LBL101109,BatchA
LBL101110,BatchB
LBL101111,BatchB
LBL101112,BatchC
LBL101113,BatchA
LBL101114,BatchA
LBL101115,BatchC
LBL101116,BatchC
LBL101117,BatchB
LBL101118,BatchB
LBL101119,BatchC
LBL101120,BatchA
LBL101121,BatchA
LBL101122,BatchB
LBL101123,BatchA
LBL101124,BatchB
LBL101125,BatchA
LBL101126,BatchC
LBL101127,BatchA
LBL101128,BatchB
LBL101129,BatchB
LBL101130,BatchA
LBL101131,BatchA
LBL101132,BatchB
LBL101133,BatchB
LBL101134,BatchA
LBL101135,BatchB
LBL101136,BatchB
LBL101137,BatchA
LBL101138,BatchC
LBL101139,BatchB
LBL101140,BatchA
LBL101141,BatchB
LBL101142,BatchC
LBL101143,BatchA
LBL101144,BatchC
LBL101145,BatchB
LBL101146,BatchB
LBL101147,BatchB
LBL101148,BatchC
LBL101149,BatchB
LBL101150,BatchA
LBL101151,BatchA
LBL101152,BatchC
LBL101153,BatchB
LBL101154,BatchA
LBL101155,BatchC
LBL101156,BatchC
LBL101157,BatchC
LBL101158,BatchB
LBL101159,BatchB
LBL101160,BatchA
LBL101161,BatchB
LBL101162,BatchC
LBL101163,BatchA
LBL101164,BatchB
LBL101165,BatchC
LBL101166,BatchC
LBL101167,BatchC
LBL101168,BatchA
LBL101169,BatchA
LBL101170,BatchA
LBL101171,BatchC
LBL101172,BatchB
LBL101173,BatchC
LBL101174,BatchC
LBL101175,BatchB
LBL101176,BatchA
LBL101177,BatchB
LBL101178,BatchC
LBL101179,BatchA
LBL101180,BatchA
LBL101181,BatchC
LBL101182,BatchC
LBL101183,BatchB
LBL101184,BatchC
LBL101185,BatchA
LBL101186,BatchB
LBL101187,BatchB
LBL101188,BatchB
LBL101189,BatchC
LBL101190,BatchB
LBL101191,BatchC
LBL101192,BatchC
LBL101193,BatchB
LBL101194,BatchB
LBL101195,BatchC
LBL101196,BatchA
LBL101197,BatchC
LBL101198,BatchB
LBL101199,BatchC
LBL101200,BatchB
LBL101201,BatchB
LBL101202,BatchC
LBL101203,BatchC
LBL101204,BatchA
LBL101205,BatchA
LBL101206,BatchC
LBL101207,BatchA
LBL101208,BatchC
LBL101209,BatchA
LBL101210,BatchA
LBL101211,BatchB
LBL101212,BatchA
LBL101213,BatchC
LBL101214,BatchA
LBL101215,BatchA
LBL101216,BatchC
LBL101217,BatchA
LBL101218,BatchB
LBL101219,BatchB
LBL101220,BatchB
LBL101221,BatchC
LBL101222,BatchB
LBL101223,BatchA
LBL101224,BatchC
LBL101225,BatchB
LBL101226,BatchC
LBL101227,BatchC
LBL101228,BatchC
LBL101229,BatchB
LBL101230,BatchC
LBL101231,BatchB
LBL101232,BatchC
LBL101233,BatchA
LBL101234,BatchB
LBL101235,BatchA
LBL101236,BatchA
LBL101237,BatchC
LBL101238,BatchB
LBL101239,BatchA
LBL101240,BatchC
LBL101241,BatchA
LBL101242,BatchB
LBL101243,BatchB
LBL101244,BatchC
LBL101245,BatchC
LBL101246,BatchB
LBL101247,BatchA
LBL101248,BatchA
LBL101249,BatchB
LBL101250,BatchC
LBL101251,BatchC
LBL101252,BatchB
LBL101253,BatchA
LBL101254,BatchB
LBL101255,BatchC
LBL101256,BatchA
LBL101257,BatchC
LBL101258,BatchC
LBL101259,BatchB
LBL101260,BatchC
LBL101261,BatchC
LBL101262,BatchB
LBL101263,BatchC
LBL101264,BatchA
LBL101265,BatchA
LBL101266,BatchA
LBL101267,BatchB
LBL101268,BatchC
LBL101269,BatchC
LBL101270,BatchA
