sample_number,test_number,name,entry,units,status
10063,5063,Content,92.47,%,A
10064,5064,Potency,97.83,%,A
10065,5065,Potency,95.25,%,A
10066,5066,Potency,95.44,%,A
10067,5067,Content,92.25,%,A
10068,5068,Potency,98.98,%,A
10069,5069,Content,94.38,%,A
10070,5070,Content,94.6,%,A
10071,5071,Content,91.66,%,A
10072,5072,Content,95.72,%,A
10073,5073,Content,92.57,%,A
10074,5074,Potency,96.65,%,A
10075,5075,Potency,91.07,%,A
10076,5076,Content,91.88,%,A
10077,5077,Content,90.14,%,A
10078,5078,Potency,97.46,%,A
10079,5079,Content,99.2,%,A
10080,5080,Content,98.84,%,A
10081,5081,Content,94.54,%,A
10082,5082,Potency,96.62,%,A
10083,5083,Content,95.66,%,A
10084,5084,Content,97.35,%,A
10085,5085,Potency,93.3,%,A
10086,5086,Content,99.39,%,A
10087,5087,Potency,91.39,%,A
10088,5088,Potency,92.79,%,A
10089,5089,Content,91.7,%,A
10090,5090,Content,99.03,%,A
10091,5091,Potency,99.9,%,A
10092,5092,Content,96.93,%,A
10093,5093,Content,97.1,%,A
10094,5094,Content,91.43,%,A
10095,5095,Potency,95.1,%,A
10096,5096,Content,93.7,%,A
10097,5097,Potency,96.12,%,A
10098,5098,Potency,93.44,%,A
10099,5099,Content,92.49,%,A
10100,5100,Potency,91.6,%,A
10101,5101,Content,94.89,%,A
10102,5102,Potency,98.84,%,A
10103,5103,Potency,93.65,%,A
10104,5104,Potency,99.68,%,A
10105,5105,Content,96.21,%,A
10106,5106,Content,96.78,%,A
10107,5107,Potency,94.3,%,A
10108,5108,Content,96.92,%,A
10109,5109,Content,90.19,%,A
10110,5110,Content,98.54,%,A
10111,5111,Potency,90.64,%,A
10112,5112,Content,97.45,%,A
10113,5113,Potency,93.2,%,A
10114,5114,Content,91.5,%,A
10115,5115,Potency,95.37,%,A
10116,5116,Content,93.66,%,A
10117,5117,Content,97.5,%,A
10118,5118,Content,93.98,%,A
10119,5119,Content,96.26,%,A
10120,5120,Content,95.71,%,A
10121,5121,Content,93.56,%,A
10122,5122,Content,99.7,%,A
10123,5123,Potency,94.47,%,A
10124,5124,Content,99.9,%,A
10125,5125,Content,90.35,%,A
10126,5126,Content,91.8,%,A
10127,5127,Potency,94.61,%,A
10128,5128,Potency,92.85,%,A
10129,5129,Potency,95.0,%,A
10130,5130,Potency,92.5,%,A
10131,5131,Content,93.87,%,A
10132,5132,Content,94.88,%,A
10133,5133,Content,97.61,%,A
10134,5134,Potency,97.36,%,A
10135,5135,Content,95.2,%,A
10136,5136,Potency,92.55,%,A
10137,5137,Potency,92.43,%,A
10138,5138,Potency,94.83,%,A
10139,5139,Potency,92.34,%,A
10140,5140,Potency,90.84,%,A
10141,5141,Potency,94.83,%,A
10142,5142,Potency,96.87,%,A
10143,5143,Potency,90.09,%,A
10144,5144,Potency,93.6,%,A
10145,5145,Potency,92.51,%,A
10146,5146,Content,97.66,%,A
10147,5147,Potency,91.55,%,A
10148,5148,Content,92.03,%,A
10149,5149,Potency,98.82,%,A
10150,5150,Content,97.41,%,A
10151,5151,Potency,90.5,%,A
10152,5152,Content,95.3,%,A
10153,5153,Content,91.75,%,A
10154,5154,Content,95.13,%,A
10155,5155,Content,98.23,%,A
10156,5156,Content,99.1,%,A
10157,5157,Content,97.4,%,A
10158,5158,Content,98.61,%,A
10159,5159,Potency,92.85,%,A
10160,5160,Content,99.67,%,A
10161,5161,Content,94.27,%,A
10162,5162,Potency,93.56,%,A
10163,5163,Content,97.98,%,A
10164,5164,Potency,91.48,%,A
10165,5165,Content,92.79,%,A
10166,5166,Potency,96.84,%,A
10167,5167,Content,95.3,%,A
10168,5168,Content,92.88,%,A
10169,5169,Content,91.17,%,A
10170,5170,Content,99.8,%,A
10171,5171,Content,99.32,%,A
10172,5172,Content,96.33,%,A
10173,5173,Content,93.44,%,A
10174,5174,Content,91.16,%,A
10175,5175,Content,99.27,%,A
10176,5176,Potency,95.62,%,A
10177,5177,Content,92.26,%,A
10178,5178,Potency,95.8,%,A
10179,5179,Potency,98.72,%,A
10180,5180,Potency,91.93,%,A
10181,5181,Content,90.46,%,A
10182,5182,Content,97.99,%,A
10183,5183,Content,99.47,%,A
10184,5184,Content,90.93,%,A
10185,5185,Potency,97.88,%,A
10186,5186,Potency,96.96,%,A
10187,5187,Potency,99.38,%,A
10188,5188,Content,94.7,%,A
10189,5189,Potency,96.78,%,A
10190,5190,Potency,99.8,%,A
10191,5191,Content,97.32,%,A
10192,5192,Content,97.84,%,A
10193,5193,Potency,93.47,%,A
10194,5194,Content,98.02,%,A
10195,5195,Content,99.0,%,A
10196,5196,Potency,97.33,%,A
10197,5197,Content,93.24,%,A
10198,5198,Potency,94.05,%,A
10199,5199,Potency,93.02,%,A
10200,5200,Content,90.47,%,A
10201,5201,Potency,91.41,%,A
10202,5202,Content,94.59,%,A
10203,5203,Content,90.36,%,A
10204,5204,Potency,94.93,%,A
10205,5205,Potency,99.25,%,A
10206,5206,Content,92.14,%,A
10207,5207,Content,93.1,%,A
10208,5208,Content,92.2,%,A
10209,5209,Content,90.44,%,A
10210,5210,Content,94.72,%,A
10211,5211,Content,90.27,%,A
10212,5212,Content,98.52,%,A
10213,5213,Content,98.28,%,A
10214,5214,Content,94.72,%,A
10215,5215,Content,96.22,%,A
10216,5216,Content,97.81,%,A
10217,5217,Potency,98.11,%,A
10218,5218,Content,95.13,%,A
10219,5219,Content,91.21,%,A
10220,5220,Potency,99.04,%,A
10221,5221,Content,91.01,%,A
10222,5222,Content,99.25,%,A
10223,5223,Content,91.3,%,A
10224,5224,Content,96.09,%,A
10225,5225,Content,97.15,%,A
10226,5226,Content,99.77,%,A
10227,5227,Potency,99.66,%,A
10228,5228,Potency,94.19,%,A
10229,5229,Potency,96.73,%,A
10230,5230,Content,95.55,%,A
10231,5231,Content,90.4,%,A
10232,5232,Content,90.7,%,A
10233,5233,Content,97.44,%,A
10234,5234,Content,93.2,%,A
10235,5235,Potency,95.47,%,A
10236,5236,Potency,94.37,%,A
10237,5237,Content,98.79,%,A
10238,5238,Content,90.84,%,A
10239,5239,Content,91.68,%,A
10240,5240,Potency,92.22,%,A
10241,5241,Content,94.75,%,A
10242,5242,Content,93.29,%,A
10243,5243,Content,91.2,%,A
10244,5244,Content,94.21,%,A
10245,5245,Content,91.24,%,A
10246,5246,Content,96.51,%,A
10247,5247,Content,92.2,%,A
10248,5248,Content,94.14,%,A
10249,5249,Potency,91.41,%,A
10250,5250,Content,94.79,%,A
10251,5251,Potency,99.75,%,A
10252,5252,Potency,95.08,%,A
10253,5253,Content,98.03,%,A
10254,5254,Potency,97.83,%,A
10255,5255,Content,93.25,%,A
10256,5256,Potency,95.28,%,A
10257,5257,Potency,93.89,%,A
10258,5258,Content,98.46,%,A
10259,5259,Content,95.18,%,A
10260,5260,Content,94.94,%,A
10261,5261,Content,98.64,%,A
10262,5262,Content,99.08,%,A
10263,5263,Content,98.26,%,A
10264,5264,Content,91.52,%,A
10265,5265,Content,95.3,%,A
10266,5266,Potency,99.82,%,A
10267,5267,Content,98.22,%,A
10268,5268,Content,98.14,%,A
10269,5269,Potency,96.66,%,A
10270,5270,Content,99.32,%,A
10271,5271,Content,90.3,%,A
10272,5272,Potency,90.33,%,A
10273,5273,Potency,97.36,%,A
10274,5274,Potency,98.01,%,A
10275,5275,Potency,95.4,%,A
10276,5276,Potency,97.11,%,A
10277,5277,Content,95.51,%,A
10278,5278,Potency,95.29,%,A
10279,5279,Content,96.66,%,A
10280,5280,Potency,99.6,%,A
10281,5281,Potency,94.72,%,A
10282,5282,Potency,92.27,%,A
10283,5283,Potency,97.17,%,A
10284,5284,Potency,97.25,%,A
10285,5285,Content,93.64,%,A
10286,5286,Content,97.26,%,A
10287,5287,Content,99.32,%,A
10288,5288,Content,99.34,%,A
10289,5289,Content,99.11,%,A
10290,5290,Content,96.37,%,A
10291,5291,Potency,97.88,%,A
10292,5292,Content,90.08,%,A
10293,5293,Potency,99.12,%,A
10294,5294,Potency,92.04,%,A
10295,5295,Potency,93.64,%,A
10296,5296,Potency,99.19,%,A
10297,5297,Content,97.99,%,A
10298,5298,Content,91.69,%,A
10299,5299,Content,90.23,%,A
10300,5300,Potency,98.7,%,A
10301,5301,Content,95.25,%,A
10302,5302,Content,91.86,%,A
10303,5303,Potency,97.1,%,A
10304,5304,Potency,97.92,%,A
10305,5305,Potency,93.7,%,A
10306,5306,Content,93.01,%,A
10307,5307,Potency,92.24,%,A
10308,5308,Potency,92.48,%,A
10309,5309,Potency,92.74,%,A
10310,5310,Potency,92.64,%,A
10311,5311,Content,90.53,%,A
10312,5312,Potency,96.5,%,A
10313,5313,Potency,91.61,%,A
10314,5314,Potency,91.48,%,A
10315,5315,Potency,97.79,%,A
10316,5316,Content,99.03,%,A
10317,5317,Potency,94.54,%,A
10318,5318,Content,97.31,%,A
10319,5319,Content,90.73,%,A
10320,5320,Potency,92.45,%,A
10321,5321,Content,99.52,%,A
10322,5322,Potency,95.65,%,A
10323,5323,Content,90.19,%,A
10324,5324,Content,94.95,%,A
10325,5325,Potency,90.35,%,A
10326,5326,Potency,90.81,%,A
10327,5327,Content,98.01,%,A
10328,5328,Content,94.23,%,A
10329,5329,Potency,97.02,%,A
10330,5330,Potency,96.84,%,A
10331,5331,Content,92.48,%,A
10332,5332,Potency,91.5,%,A
10333,5333,Content,94.27,%,A
10334,5334,Potency,95.3,%,A
10335,5335,Potency,94.88,%,A
10336,5336,Content,99.52,%,A
10337,5337,Content,96.98,%,A
10338,5338,Potency,98.65,%,A
10339,5339,Potency,94.1,%,A
10340,5340,Content,94.11,%,A
10341,5341,Potency,98.49,%,A
10342,5342,Potency,99.31,%,A
10343,5343,Content,98.98,%,A
10344,5344,Content,90.82,%,A
10345,5345,Content,95.17,%,A
10346,5346,Potency,97.79,%,A
10347,5347,Content,99.92,%,A
10348,5348,Potency,90.91,%,A
10349,5349,Content,92.16,%,A
10350,5350,Potency,95.48,%,A
10351,5351,Content,90.44,%,A
10352,5352,Potency,92.87,%,A
10353,5353,Potency,99.39,%,A
10354,5354,Content,98.91,%,A
10355,5355,Potency,95.71,%,A
10356,5356,Potency,98.38,%,A
10357,5357,Content,95.75,%,A
10358,5358,Content,94.78,%,A
10359,5359,Content,91.23,%,A
10360,5360,Potency,96.48,%,A
10361,5361,Potency,94.42,%,A
10362,5362,Potency,93.56,%,A
10363,5363,Content,96.63,%,A
10364,5364,Content,93.46,%,A
10365,5365,Content,90.39,%,A
10366,5366,Potency,96.45,%,A
10367,5367,Content,92.21,%,A
10368,5368,Content,94.48,%,A
10369,5369,Potency,96.22,%,A
10370,5370,Content,96.87,%,A
10371,5371,Potency,96.12,%,A
10372,5372,Content,98.31,%,A
10373,5373,Potency,95.9,%,A
10374,5374,Content,95.23,%,A
10375,5375,Potency,90.15,%,A
10376,5376,Potency,95.8,%,A
10377,5377,Content,97.44,%,A
10378,5378,Potency,98.8,%,A
10379,5379,Potency,91.68,%,A
10380,5380,Content,97.29,%,A
10381,5381,Potency,99.13,%,A
10382,5382,Potency,98.6,%,A
10383,5383,Content,99.81,%,A
10384,5384,Potency,98.77,%,A
10385,5385,Content,99.51,%,A
10386,5386,Content,99.86,%,A
10387,5387,Potency,95.96,%,A
10388,5388,Content,92.56,%,A
10389,5389,Content,93.73,%,A
10390,5390,Potency,93.47,%,A
10391,5391,Content,93.54,%,A
10392,5392,Potency,93.81,%,A
10393,5393,Potency,90.44,%,A
10394,5394,Potency,90.13,%,A
10395,5395,Content,90.27,%,A
10396,5396,Content,93.27,%,A
10397,5397,Content,99.13,%,A
10398,5398,Potency,99.93,%,A
10399,5399,Content,91.89,%,A
10400,5400,Potency,99.4,%,A
10401,5401,Content,98.57,%,A
10402,5402,Potency,94.4,%,A
10403,5403,Content,97.58,%,A
10404,5404,Potency,90.69,%,A
10405,5405,Potency,99.83,%,A
10406,5406,Content,97.51,%,A
10407,5407,Content,98.03,%,A
10408,5408,Potency,92.7,%,A
10409,5409,Content,91.83,%,A
10410,5410,Content,99.99,%,A
10411,5411,Potency,98.76,%,A
10412,5412,Potency,97.25,%,A
10413,5413,Potency,95.29,%,A
10414,5414,Content,94.46,%,A
10415,5415,Content,96.35,%,A
10416,5416,Potency,96.19,%,A
10417,5417,Content,96.02,%,A
10418,5418,Content,94.24,%,A
10419,5419,Potency,93.46,%,A
10420,5420,Content,98.54,%,A
10421,5421,Content,92.91,%,A
10422,5422,Potency,93.51,%,A
10423,5423,Potency,94.09,%,A
10424,5424,Potency,91.59,%,A
10425,5425,Content,92.51,%,A
10426,5426,Potency,93.05,%,A
10427,5427,Potency,92.95,%,A
10428,5428,Potency,92.75,%,A
10429,5429,Content,98.2,%,A
10430,5430,Content,92.94,%,A
10431,5431,Content,92.64,%,A
10432,5432,Content,95.76,%,A
10433,5433,Potency,93.27,%,A
10434,5434,Potency,94.42,%,A
10435,5435,Content,98.69,%,A
10436,5436,Potency,97.4,%,A
10437,5437,Content,95.53,%,A
10438,5438,Content,99.53,%,A
10439,5439,Potency,94.65,%,A
10440,5440,Content,95.66,%,A
10441,5441,Potency,96.76,%,A
10442,5442,Potency,96.02,%,A
10443,5443,Potency,96.81,%,A
10444,5444,Potency,94.62,%,A
10445,5445,Potency,93.98,%,A
10446,5446,Potency,98.63,%,A
10447,5447,Content,96.63,%,A
10448,5448,Potency,94.71,%,A
10449,5449,Content,94.37,%,A
10450,5450,Potency,92.07,%,A
10451,5451,Potency,98.16,%,A
10452,5452,Content,90.38,%,A
10453,5453,Content,96.02,%,A
10454,5454,Potency,94.46,%,A
10455,5455,Potency,98.92,%,A
10456,5456,Potency,99.86,%,A
10457,5457,Potency,93.98,%,A
10458,5458,Content,90.65,%,A
10459,5459,Potency,91.56,%,A
10460,5460,Content,92.76,%,A
10461,5461,Content,94.31,%,A
10462,5462,Content,90.48,%,A
10463,5463,Content,97.03,%,A
10464,5464,Content,94.75,%,A
10465,5465,Content,96.66,%,A
10466,5466,Potency,94.96,%,A
10467,5467,Content,95.55,%,A
10468,5468,Potency,91.58,%,A
10469,5469,Potency,91.57,%,A
10470,5470,Potency,91.63,%,A
10471,5471,Content,95.62,%,A
10472,5472,Potency,95.9,%,A
10473,5473,Content,93.44,%,A
10474,5474,Potency,96.45,%,A
10475,5475,Content,92.78,%,A
10476,5476,Content,92.54,%,A
10477,5477,Potency,91.68,%,A
10478,5478,Potency,90.42,%,A
10479,5479,Content,95.62,%,A
10480,5480,Content,90.58,%,A
10481,5481,Content,97.82,%,A
10482,5482,Content,91.01,%,A
10483,5483,Potency,98.55,%,A
10484,5484,Content,92.54,%,A
10485,5485,Potency,97.4,%,A
10486,5486,Potency,90.44,%,A
10487,5487,Potency,91.95,%,A
10488,5488,Content,98.25,%,A
10489,5489,Potency,92.53,%,A
10490,5490,Potency,91.76,%,A
10491,5491,Content,95.77,%,A
10492,5492,Content,90.1,%,A
10493,5493,Content,96.57,%,A
10494,5494,Content,94.23,%,A
10495,5495,Content,98.21,%,A
10496,5496,Potency,91.22,%,A
10497,5497,Potency,90.14,%,A
10498,5498,Content,90.77,%,A
10499,5499,Potency,98.03,%,A
10500,5500,Content,95.37,%,A
10501,5501,Potency,92.29,%,A
10502,5502,Potency,93.72,%,A
10503,5503,Content,96.46,%,A
10504,5504,Potency,97.39,%,A
10505,5505,Potency,92.97,%,A
10506,5506,Content,98.22,%,A
10507,5507,Potency,99.51,%,A
10508,5508,Content,98.94,%,A
10509,5509,Potency,95.57,%,A
10510,5510,Potency,92.52,%,A
10511,5511,Content,99.01,%,A
10512,5512,Potency,94.96,%,A
10513,5513,Content,91.03,%,A
10514,5514,Potency,93.32,%,A
10515,5515,Content,91.69,%,A
10516,5516,Content,94.92,%,A
10517,5517,Potency,92.77,%,A
10518,5518,Content,95.7,%,A
10519,5519,Content,97.76,%,A
10520,5520,Potency,90.85,%,A
10521,5521,Potency,96.19,%,A
10522,5522,Potency,92.78,%,A
10523,5523,Content,98.13,%,A
10524,5524,Content,98.69,%,A
10525,5525,Potency,97.85,%,A
10526,5526,Potency,90.7,%,A
10527,5527,Content,92.67,%,A
10528,5528,Potency,92.39,%,A
10529,5529,Potency,96.68,%,A
10530,5530,Content,98.77,%,A
10531,5531,Content,94.32,%,A
10532,5532,Content,99.95,%,A
10533,5533,Content,96.56,%,A
10534,5534,Content,97.74,%,A
10535,5535,Potency,97.63,%,A
10536,5536,Content,97.78,%,A
10537,5537,Potency,94.79,%,A
10538,5538,Content,94.27,%,A
10539,5539,Potency,98.56,%,A
10540,5540,Potency,98.29,%,A
10541,5541,Content,93.33,%,A
10542,5542,Potency,92.6,%,A
10543,5543,Content,91.97,%,A
10544,5544,Potency,98.44,%,A
10545,5545,Potency,90.01,%,A
10546,5546,Potency,92.35,%,A
10547,5547,Potency,98.22,%,A
10548,5548,Content,91.96,%,A
10549,5549,Content,91.28,%,A
10550,5550,Content,92.42,%,A
10551,5551,Potency,90.62,%,A
10552,5552,Potency,95.75,%,A
10553,5553,Potency,91.35,%,A
10554,5554,Content,94.18,%,A
10555,5555,Potency,91.37,%,A
10556,5556,Content,97.67,%,A
10557,5557,Potency,93.19,%,A
10558,5558,Content,99.23,%,A
10559,5559,Content,91.7,%,A
10560,5560,Content,94.22,%,A
10561,5561,Potency,91.1,%,A
10562,5562,Content,96.65,%,A
10563,5563,Potency,92.65,%,A
10564,5564,Content,91.72,%,A
10565,5565,Content,97.73,%,A
10566,5566,Content,91.45,%,A
10567,5567,Content,97.44,%,A
10568,5568,Content,92.12,%,A
10569,5569,Potency,90.51,%,A
10570,5570,Content,95.31,%,A
10571,5571,Content,98.4,%,A
10572,5572,Potency,90.67,%,A
10573,5573,Potency,91.75,%,A
10574,5574,Content,94.7,%,A
10575,5575,Content,95.23,%,A
10576,5576,Potency,90.09,%,A
10577,5577,Potency,90.75,%,A
10578,5578,Potency,99.94,%,A
10579,5579,Content,91.91,%,A
10580,5580,Potency,96.8,%,A
10581,5581,Potency,90.98,%,A
10582,5582,Content,90.24,%,A
10583,5583,Content,99.1,%,A
10584,5584,Potency,90.3,%,A
10585,5585,Potency,92.58,%,A
10586,5586,Content,96.68,%,A
10587,5587,Potency,94.68,%,A
10588,5588,Content,96.91,%,A
10589,5589,Potency,90.08,%,A
10590,5590,Content,92.4,%,A
10591,5591,Content,97.32,%,A
10592,5592,Content,92.11,%,A
10593,5593,Potency,91.25,%,A
10594,5594,Potency,93.03,%,A
10595,5595,Content,90.93,%,A
10596,5596,Content,94.99,%,A
10597,5597,Potency,99.38,%,A
10598,5598,Potency,93.41,%,A
10599,5599,Potency,98.01,%,A
10600,5600,Potency,96.48,%,A
10601,5601,Potency,95.47,%,A
10602,5602,Content,96.06,%,A
10603,5603,Content,90.0,%,A
10604,5604,Content,90.17,%,A
10605,5605,Content,95.72,%,A
10606,5606,Content,99.88,%,A
10607,5607,Content,92.55,%,A
10608,5608,Potency,92.54,%,A
10609,5609,Content,91.49,%,A
10610,5610,Content,99.05,%,A
10611,5611,Potency,96.41,%,A
10612,5612,Content,96.41,%,A
10613,5613,Content,94.56,%,A
10614,5614,Content,92.94,%,A
10615,5615,Potency,97.12,%,A
10616,5616,Potency,91.62,%,A
10617,5617,Content,97.61,%,A
10618,5618,Potency,91.49,%,A
10619,5619,Content,95.12,%,A
10620,5620,Potency,93.11,%,A
10621,5621,Potency,99.52,%,A
10622,5622,Content,96.48,%,A
10623,5623,Content,98.27,%,A
10624,5624,Content,91.65,%,A
10625,5625,Content,92.8,%,A
10626,5626,Potency,98.32,%,A
10627,5627,Content,96.34,%,A
10628,5628,Content,91.02,%,A
10629,5629,Content,93.83,%,A
10630,5630,Potency,99.73,%,A
10631,5631,Content,95.5,%,A
10632,5632,Potency,90.65,%,A
10633,5633,Potency,91.86,%,A
10634,5634,Potency,98.13,%,A
10635,5635,Content,99.86,%,A
10636,5636,Content,93.31,%,A
10637,5637,Potency,96.94,%,A
10638,5638,Potency,94.8,%,A
10639,5639,Potency,93.27,%,A
10640,5640,Content,90.72,%,A
10641,5641,Content,98.99,%,A
10642,5642,Potency,96.56,%,A
10643,5643,Potency,96.27,%,A
10644,5644,Content,93.41,%,A
10645,5645,Content,94.78,%,A
10646,5646,Content,90.41,%,A
10647,5647,Content,98.42,%,A
10648,5648,Content,99.65,%,A
10649,5649,Content,97.48,%,A
10650,5650,Potency,98.51,%,A
10651,5651,Content,91.66,%,A
10652,5652,Potency,98.19,%,A
10653,5653,Content,94.13,%,A
10654,5654,Potency,91.95,%,A
10655,5655,Content,93.51,%,A
10656,5656,Content,99.66,%,A
10657,5657,Content,96.32,%,A
10658,5658,Content,90.18,%,A
10659,5659,Content,92.71,%,A
10660,5660,Potency,99.43,%,A
10661,5661,Potency,93.04,%,A
10662,5662,Potency,93.38,%,A
10663,5663,Potency,91.47,%,A
10664,5664,Content,96.63,%,A
10665,5665,Content,95.79,%,A
10666,5666,Content,98.51,%,A
10667,5667,Content,91.91,%,A
10668,5668,Potency,99.33,%,A
10669,5669,Potency,93.2,%,A
10670,5670,Potency,95.76,%,A
10671,5671,Potency,99.54,%,A
10672,5672,Content,92.12,%,A
10673,5673,Potency,91.95,%,A
10674,5674,Potency,92.73,%,A
10675,5675,Content,92.97,%,A
10676,5676,Potency,99.59,%,A
10677,5677,Content,99.31,%,A
10678,5678,Potency,99.1,%,A
10679,5679,Potency,99.9,%,A
10680,5680,Content,93.14,%,A
10681,5681,Content,97.52,%,A
10682,5682,Potency,91.02,%,A
10683,5683,Potency,97.45,%,A
10684,5684,Content,99.23,%,A
10685,5685,Potency,91.55,%,A
10686,5686,Content,93.42,%,A
10687,5687,Content,97.96,%,A
10688,5688,Content,94.52,%,A
10689,5689,Potency,99.09,%,A
10690,5690,Potency,95.06,%,A
10691,5691,Content,95.01,%,A
10692,5692,Content,95.54,%,A
10693,5693,Content,90.86,%,A
10694,5694,Potency,95.07,%,A
10695,5695,Potency,99.6,%,A
10696,5696,Content,99.73,%,A
10697,5697,Potency,92.66,%,A
10698,5698,Content,91.48,%,A
10699,5699,Potency,97.69,%,A
10700,5700,Potency,90.68,%,A
10701,5701,Potency,99.37,%,A
10702,5702,Content,91.86,%,A
10703,5703,Potency,95.13,%,A
10704,5704,Potency,98.02,%,A
10705,5705,Potency,95.53,%,A
10706,5706,Potency,91.43,%,A
10707,5707,Content,95.04,%,A
10708,5708,Content,92.94,%,A
10709,5709,Content,90.23,%,A
10710,5710,Content,93.45,%,A
10711,5711,Content,90.32,%,A
10712,5712,Potency,93.74,%,A
10713,5713,Content,95.29,%,A
10714,5714,Content,90.1,%,A
10715,5715,Potency,97.09,%,A
10716,5716,Potency,94.41,%,A
10717,5717,Content,90.47,%,A
10718,5718,Potency,94.88,%,A
10719,5719,Content,98.84,%,A
10720,5720,Content,98.6,%,A
10721,5721,Content,97.54,%,A
10722,5722,Potency,91.3,%,A
10723,5723,Potency,97.76,%,A
10724,5724,Content,92.82,%,A
10725,5725,Content,91.76,%,A
10726,5726,Potency,98.82,%,A
10727,5727,Content,99.9,%,A
10728,5728,Content,91.32,%,A
10729,5729,Potency,93.62,%,A
10730,5730,Potency,98.11,%,A
10731,5731,Content,94.42,%,A
10732,5732,Potency,95.74,%,A
10733,5733,Content,91.55,%,A
10734,5734,Potency,93.93,%,A
10735,5735,Content,92.26,%,A
10736,5736,Content,90.73,%,A
10737,5737,Potency,95.14,%,A
10738,5738,Content,91.19,%,A
10739,5739,Potency,96.99,%,A
10740,5740,Content,97.26,%,A
10741,5741,Content,94.45,%,A
10742,5742,Potency,95.96,%,A
10743,5743,Content,98.78,%,A
10744,5744,Content,93.96,%,A
10745,5745,Content,92.0,%,A
10746,5746,Potency,93.21,%,A
10747,5747,Potency,94.6,%,A
10748,5748,Content,98.53,%,A
10749,5749,Potency,91.55,%,A
10750,5750,Content,96.83,%,A
10751,5751,Content,92.75,%,A
10752,5752,Content,90.62,%,A
10753,5753,Content,90.31,%,A
10754,5754,Potency,93.14,%,A
10755,5755,Content,96.57,%,A
10756,5756,Potency,98.23,%,A
10757,5757,Content,94.08,%,A
10758,5758,Content,98.78,%,A
10759,5759,Content,99.89,%,A
10760,5760,Potency,92.65,%,A
10761,5761,Potency,92.53,%,A
10762,5762,Content,96.7,%,A
10763,5763,Potency,93.4,%,A
10764,5764,Potency,97.55,%,A
10765,5765,Content,92.39,%,A
10766,5766,Potency,97.61,%,A
10767,5767,Potency,90.37,%,A
10768,5768,Potency,94.24,%,A
10769,5769,Content,99.85,%,A
10770,5770,Content,97.62,%,A
10771,5771,Content,93.53,%,A
10772,5772,Potency,96.22,%,A
10773,5773,Content,98.96,%,A
10774,5774,Content,92.91,%,A
10775,5775,Potency,92.67,%,A
10776,5776,Potency,95.07,%,A
10777,5777,Potency,93.19,%,A
10778,5778,Content,96.65,%,A
10779,5779,Potency,93.8,%,A
10780,5780,Content,97.38,%,A
10781,5781,Content,97.15,%,A
10782,5782,Content,98.45,%,A
10783,5783,Content,99.41,%,A
10784,5784,Potency,93.49,%,A
10785,5785,Potency,94.68,%,A
10786,5786,Content,98.83,%,A
10787,5787,Content,95.31,%,A
10788,5788,Content,91.76,%,A
10789,5789,Potency,99.86,%,A
10790,5790,Potency,99.22,%,A
10791,5791,Potency,94.69,%,A
10792,5792,Content,93.73,%,A
10793,5793,Content,99.59,%,A
10794,5794,Content,90.52,%,A
10795,5795,Content,92.14,%,A
10796,5796,Potency,95.85,%,A
10797,5797,Content,92.63,%,A
10798,5798,Content,98.79,%,A
